K_dl	K_zld	K_cic	K_sna	K_vnd	a_dl	a_zld	a_cic	a_sna	a_vnd	q_btm	w_dl.zld	Beta	Cic_att
0.00994643	3.03055	6.2133	254.479	1.59163	9.06977	4.55013	4.41381e-05	0.0454255	2.71838e-05	0.00173602	1.64445	3.08644	5.82794
0.0579498	8.21736	5.71994	1352.54	0.511469	10	2.10496	0.0229596	0.438187	0.0522296	0.0029096	2.03362	14.0216	7.39229
1.98261	0.0622039	5.19449	4604.99	0.536217	2.59858	7.71186	1.00462e-05	0.486653	0.00234542	0.00293412	99.7374	23.8541	11.3084
3.20352	4.56324	8.65206	688.174	3.09631	5.45791	2.97478	0.190316	0.187489	0.00180344	0.00175571	99.043	2.08429	6.47122
1.21397	8.75304	3.79367	243.132	1.89019	4.30167	2.1878	0.0011131	0.0560706	0.00204239	0.00117828	69.2497	10.5694	6.16437
0.00990462	4.48349	6.75624	258.727	1.87729	2.47304	4.23686	0.0117871	0.0654699	3.0725e-05	0.00208716	85.2471	2.61653	5.74496
0.0829055	0.441447	5.06782	379.037	1.72951	5.36276	5.00126	0.0634856	0.211117	0.00465244	0.00133922	99.6247	23.9292	6.64966
0.161426	0.623925	6.49359	861.99	0.023977	1.08326	4.20761	0.0656403	0.0263533	0.00462077	0.00303855	5.09373	10.7193	8.39477
4.93142	0.0897765	5.79767	459.992	2.04992	3.44272	5.3811	0.030787	0.0356397	0.0581635	0.00653825	53.5958	10.7948	9.6277
0.0830067	1.28429	6.17812	2098.6	0.981011	1.70231	4.16253	0.00502227	0.487937	0.0029397	0.00797235	40.9646	2.74445	6.3124
0.0650288	2.20399	8.14872	959.816	0.0892255	2.63459	2.07284	0.0959414	0.0401278	0.00131572	0.00472203	74.4288	15.5362	9.75509
173.97	1.62868	5.75698	4449.2	0.0767623	0.991135	3.26497	0.0040993	0.569077	0.00259999	0.00643221	1.02124	4.31304	7.19046
0.0440872	12.2553	5.01457	1879.27	0.586734	1.49637	1.53463	0.00148334	0.524335	0.0321597	0.00885746	98.6394	18.863	6.82854
9.54222	0.0444313	4.31155	864.712	2.01392	4.23488	5.3624	0.0997311	0.150377	0.000264942	0.005201	82.3784	11.2779	9.48715
0.234614	4.67831	5.66591	369.173	1.85693	2.4591	2.80608	0.0135745	0.121979	0.00429966	0.00714191	98.965	2.87927	6.19723
3.41241	0.15105	7.0919	384.41	1.78836	3.98542	5.5208	0.00927387	0.0372966	0.0179747	0.00118325	51.6066	24.9964	11.8548
0.0199734	0.372669	6.1236	2507.6	0.207772	7.71427	5.43826	0.0073693	0.512294	0.044963	0.00141855	19.2651	24.9653	8.28296
0.891071	0.826157	5.19361	608.664	2.96883	2.95042	5.02108	0.0297624	0.0105648	0.293795	0.00228422	99.1323	3.09213	6.88469
1.65013	0.614379	4.33878	604.464	1.09791	1.95178	5.29681	0.0149413	0.0328237	0.0624013	0.00136799	99.4823	5.27296	7.55689
0.0642264	6.92542	6.56483	1315.5	0.111568	3.45601	2.64958	0.00949901	0.0186494	0.256259	0.00340645	99.5695	3.49947	8.91312
0.977036	0.413	4.57089	330.766	2.30809	2.92842	5.06721	0.0152195	0.0340246	0.167666	0.00121906	85.0852	13.6214	7.62383
0.0290477	1.03619	5.94855	2249.48	1.84828	3.64661	3.86284	0.0115353	0.439276	0.680465	0.00599646	21.6914	4.62761	7.15724
1.26818	0.603987	11.3786	2037.69	0.047654	4.77774	4.21863	0.125288	0.0362048	0.0152862	0.00577537	22.2049	2.74137	12.5623
5.72318	0.396441	4.58183	559.743	2.01382	4.44367	2.6427	0.00648402	0.0253424	0.14791	0.0063557	19.4809	9.65918	8.93198
5.09832	0.173974	3.36834	1217.32	1.63167	3.37416	3.42492	0.00565713	0.370977	0.000110907	0.00447628	99.9958	12.0813	7.20602
0.0182188	1.34345	5.87668	357.623	1.25302	4.25184	2.91492	0.0390121	0.137853	0.0287905	0.00662981	92.2916	8.37721	6.66873
0.304836	1.63384	4.78452	551.247	1.52269	3.2584	2.46051	0.0411155	0.153733	0.132999	0.00403421	64.1432	12.0172	7.21274
1.51344	0.106361	8.13197	458.916	1.58111	3.63222	4.13389	0.213246	0.0438234	0.00245327	0.006383	95.1845	19.1397	10.0374
1.83781	16.8282	8.00973	1081.27	11.1759	6.441	1.26567	0.239116	0.0154908	0.595884	0.00601456	97.2408	12.0196	7.94409
0.115359	0.251757	5.89401	1114.54	0.323958	1.93753	8.30249	0.00554669	0.359224	2.89385e-05	0.00160874	9.37969	14.2567	8.14619
0.0877539	0.587975	5.10309	604.066	2.74314	9.00217	9.4721	1.1042e-05	0.18847	0.000212312	0.0010833	93.8325	2.48363	5.68046
16.2285	0.336394	3.4968	362.885	4.43638	3.81597	6.39005	9.90099e-06	0.0759506	0.0310869	0.00191213	25.0082	3.76975	4.64822
2.66723	0.146845	3.8917	297.292	1.90306	2.08752	9.4018	0.00452045	0.00270516	0.00314086	0.00121267	99.9668	11.1334	7.50988
0.993841	0.432323	5.72823	7330.78	0.720314	3.18609	9.09391	0.0158172	0.465695	0.00216038	0.00267487	44.5244	1.70385	6.9918
6.49394	0.217491	3.65531	906.393	1.83265	1.83437	7.7949	1.15113e-05	0.315701	0.00262225	0.00241741	89.7974	4.40584	6.14225
0.323925	1.10788	7.85414	231.627	4.75475	2.14902	8.55357	1.26972e-05	0.0132965	0.0144738	0.0030671	64.6677	1.72016	4.31699
3.04632	0.162561	3.62709	278.922	2.68491	4.15881	6.56549	0.00110271	0.00119045	0.0126194	0.00432202	47.016	6.54473	6.69418
8.43022	0.248546	4.04302	571.935	4.25295	4.51014	7.50884	0.0105587	0.0280741	0.12206	0.00376882	23.299	2.53461	5.83551
1.61578	0.592976	6.15792	387.764	3.1786	1.90823	7.16317	4.72932e-05	0.184738	0.00540661	0.00612501	45.3521	1.96933	5.26931
12.4661	0.986814	5.32385	1452.92	2.3213	3.8756	3.88366	0.000550804	0.362529	0.000540899	0.00991727	2.34	2.27978	6.37022
0.0893088	0.333262	5.44133	371.439	1.22981	2.09977	8.0995	7.70187e-05	0.201287	1.69323e-05	0.00376031	10.6273	5.83826	6.10565
0.324033	0.128345	5.16203	895.642	0.989917	4.45853	8.40909	0.00913148	0.198685	0.00210096	0.00455009	36.5073	13.6031	8.29892
11.6278	0.0276194	3.67447	973.011	2.07079	2.87576	9.88592	0.000274278	0.280889	4.99643e-05	0.00720793	75.1129	8.46073	8.72932
0.321688	0.182023	5.11249	1239.62	0.859259	2.86989	6.88624	0.00108784	0.485777	0.0201309	0.00996509	2.08223	9.81325	6.36478
