V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
5696.42	6371.29	9274.54	16.397	346.574	3.66977	7.50715	0.0801503	0.162178	0.00105698	0.00179106	74.9222	0.944079	13.9155	0.033232	0.020528	3
9304.87	7792.71	9997.06	8.99227	396.314	3.90455	7.6965	0.0709755	0.211944	0.000931065	0.00129527	68.2608	0.941502	13.797	0.035897	0.02212	3
8183.27	7144.65	9934.39	5.43449	396.787	3.88694	7.68373	0.0732324	0.142037	0.000979569	0.00143352	73.4784	0.945661	13.7724	0.035167	0.021808	3
8399.79	7915.79	9996	7.30672	242.717	3.02272	7.26554	0.0916432	0.177197	0.00100818	0.00139733	74.5108	0.94171	14.1994	0.036212	0.020136	3
7839.82	5693.63	9965.45	11.6639	332.97	3.58466	7.51087	0.081582	0.149902	0.0010027	0.00140017	70.8219	0.951888	13.7027	0.033277	0.021096	3
8375.89	3731.19	9009.56	3.70387	387.606	3.89298	7.64261	0.0721291	0.117957	0.00096785	0.00131887	73.5695	0.944753	13.5888	0.035259	0.021488	3
7785.8	7270.14	9990.61	6.72886	330.657	3.56454	7.45915	0.079933	0.17657	0.000993575	0.00149711	69.8289	0.94878	13.8949	0.03316	0.021075	3
7583.36	7787.03	9988.79	10.1253	399.036	3.90154	7.80398	0.0739829	0.159989	0.000936589	0.00138258	73.1199	0.948048	13.7413	0.034076	0.021819	3
7395.36	9894.37	9998.62	8.35412	381.451	3.81013	7.71684	0.0758135	0.180203	0.000959874	0.00144843	73.1722	0.940314	13.8768	0.036309	0.021604	3
9259	2599.29	9888.26	7.91553	378.076	3.74447	7.74919	0.0721788	0.0924818	0.00099667	0.00140584	73.5969	0.939695	13.8672	0.035868	0.021859	3
9999.97	5463.15	9028.86	6.61009	410.855	3.94516	7.68166	0.0674429	0.152125	0.000952202	0.00137493	73.0393	0.945393	13.5568	0.034759	0.022024	3
9973.31	9345.76	8508.3	6.0814	192.748	2.78721	6.93534	0.100388	0.169062	0.00104628	0.00111004	57.5185	0.962657	13.8062	0.028825	0.018443	3
8950.88	7850.54	9492.36	8.25391	395.256	3.88644	7.75322	0.0707248	0.141444	0.000954931	0.00128795	74.0129	0.942281	13.6942	0.035447	0.021855	3
8759.86	7560.11	9846.85	7.45222	399.998	3.86928	7.80529	0.0715037	0.11328	0.000971972	0.00136666	72.2323	0.944222	13.7187	0.035169	0.021979	3
5706.36	3962.98	9017.35	7.55764	371.993	3.63213	7.72464	0.076789	0.181872	0.000938571	0.00237747	66.1259	0.961273	13.6825	0.028168	0.0213	3
8374.75	7452.76	9991.5	6.30586	384.254	3.80214	7.75951	0.0736967	0.171994	0.000892302	0.001382	75.1626	0.947572	13.7712	0.034484	0.021919	3
8849.9	4216.83	9931.67	5.62677	378.313	3.76442	7.63949	0.0739388	0.168873	0.000951483	0.00143753	74.0742	0.950922	13.8198	0.033368	0.021803	3
8534.3	7041.26	9944.99	8.12613	222.057	2.93053	6.9785	0.0954009	0.174466	0.00105698	0.00154338	74.5225	0.933561	14.0952	0.044296	0.020869	3
8045.79	7274.35	9749.84	5.45248	412.023	3.93286	7.73196	0.0709578	0.0919615	0.000953973	0.0015734	69.5108	0.940544	13.7768	0.036429	0.021961	3
9060.73	7292.28	9075.1	9.66651	375.394	3.80802	7.62014	0.0718581	0.170393	0.000972999	0.00128432	73.88	0.948967	13.6446	0.032675	0.021464	3
8993.34	6595.93	9946.39	5.65368	412.697	3.89774	7.79574	0.0703409	0.197159	0.000945499	0.00151374	67.2635	0.944494	13.6951	0.035711	0.022311	3
7994.71	3336.61	9939.93	5.3303	353.341	3.67909	7.65068	0.0757647	0.157992	0.000941929	0.00139509	74.3753	0.940269	13.9869	0.035324	0.021645	3
8016.85	6036.75	9991.29	12.2867	393.702	3.88663	7.706	0.0732788	0.173757	0.0009618	0.00141214	70.3248	0.942295	13.8241	0.03533	0.021802	3
7088.1	8866.83	9816.5	7.88623	375.753	3.77097	7.73537	0.0762612	0.135024	0.000967904	0.00148365	74.8866	0.943875	13.8324	0.035215	0.02137	3
9921.82	6798.4	8191.14	7.61219	400.096	3.89847	7.66863	0.0670542	0.053026	0.000969954	0.0013588	64.7059	0.945584	13.3405	0.034094	0.021558	3
7945.56	3318.08	9667.91	5.55664	385.484	3.83559	7.70161	0.0734534	0.120456	0.000916908	0.00145995	74.518	0.941896	13.7821	0.035895	0.02169	3
9917.46	7977.62	9015.31	6.91178	401.648	3.91823	7.85618	0.0681956	0.148572	0.000897559	0.00113255	69.2454	0.944224	13.5415	0.035011	0.021986	3
7943.4	6785.52	9779.9	8.18227	397.772	3.88214	7.7329	0.0728155	0.155796	0.000937935	0.00145623	73.726	0.946737	13.7545	0.034455	0.021777	3
9469.87	6597.12	8904.12	4.71471	346.916	3.6555	7.4983	0.0724027	0.143731	0.000989031	0.0013367	71.7296	0.932206	13.8188	0.03876	0.02164	3
9227.99	7153.41	9242.82	6.72203	363.657	3.7462	7.58345	0.0739081	0.135655	0.000981139	0.00133124	74.4195	0.942664	13.5647	0.034797	0.021562	3
9733.7	6766.53	9918.67	13.3948	397.66	3.9108	7.69539	0.0707182	0.30846	0.000985826	0.0012506	71.1912	0.943722	13.7233	0.035492	0.022178	3
9839.43	5489.01	8192.12	4.00835	398.615	3.88642	7.67444	0.0670033	0.0960385	0.000967705	0.00135636	61.9658	0.941859	13.4318	0.035694	0.021596	3
9842.72	2716.94	8873.73	5.5133	386.147	3.80747	7.72757	0.0690267	0.192937	0.000904678	0.00137901	66.5249	0.943912	13.5404	0.035149	0.021847	3
4672.88	6329.93	6747.14	8.4268	342.287	3.81153	7.47305	0.0796108	0.0828307	0.00100789	0.00143901	73.9407	0.956443	13.2186	0.030833	0.018946	3
6818.49	2920.88	9344.46	6.98922	427.827	3.89094	7.85386	0.0703468	0.194275	0.000916563	0.00220176	62.0535	0.942468	13.7157	0.03624	0.02191	3
8251.32	5383.68	9991.25	5.9361	394.713	3.89347	7.6625	0.0728899	0.168747	0.000942758	0.00144087	71.8874	0.943242	13.8	0.035641	0.021897	3
8954.81	8037.45	9948.57	8.12925	372.426	3.76732	7.75536	0.074466	0.179994	0.000955267	0.00119698	58.1721	0.949627	13.7636	0.033245	0.021627	3
8238.69	6433.83	9956.05	8.1059	412.117	3.88364	7.82942	0.0706904	0.167436	0.00093603	0.00157862	65.2907	0.943156	13.8307	0.035593	0.02211	3
7951.82	5641.83	9934.14	16.1344	380.359	3.85598	7.65625	0.0740656	0.117338	0.000962331	0.001387	71.8282	0.941238	13.8325	0.033754	0.021807	3
8210.08	3554.94	9635.9	5.27877	385.963	3.81172	7.75848	0.0731267	0.129251	0.00095391	0.00141403	72.3354	0.942432	13.7668	0.035936	0.021689	3
8056.17	7468.07	9940.22	5.08927	392.218	3.85369	7.73169	0.0726898	0.158385	0.000931118	0.00143722	72.7258	0.941257	13.8707	0.03636	0.021912	3
6581.86	3745.38	8651.25	10.7795	408.56	3.85821	7.66265	0.0713644	0.130823	0.00095179	0.00224421	70.0235	0.943683	13.5631	0.034892	0.02133	3
7402.41	6218.11	9924.75	4.80699	383.752	3.79233	7.75716	0.0753447	0.193946	0.000939295	0.00151869	74.0957	0.943384	13.826	0.035768	0.021742	3
8083.26	6630.92	9754.96	3.92671	402.756	3.90789	7.7705	0.0717887	0.172796	0.0009402	0.00139268	71.5793	0.945062	13.7964	0.035555	0.021942	3
8399.98	7586.47	8622.68	4.47364	369.497	3.74779	7.73051	0.0734028	0.142219	0.000968947	0.00126559	75.3249	0.945876	13.5704	0.033979	0.021216	3
8247.19	7692.98	9598.02	4.3063	410.824	3.84752	8.01769	0.0700958	0.163434	0.000968567	0.00140351	70.7978	0.940332	13.7872	0.036984	0.022089	3
8747.92	7579.68	9632.28	5.39959	360.965	3.69921	7.61408	0.0754885	0.143184	0.000980255	0.00137173	72.6151	0.949694	13.6734	0.03368	0.021471	3
8346.2	7811.09	9117.91	3.4211	396.145	3.88943	7.72702	0.0718381	0.105727	0.000961893	0.00133555	74.2154	0.948473	13.5823	0.034474	0.021628	3
7531.53	7067.97	9571.31	7.86902	409.376	3.88388	7.88128	0.0708461	0.164063	0.000919324	0.00156243	73.6061	0.941115	13.8058	0.03616	0.021923	3
7911.68	6782.91	9861.68	10.194	411.101	3.8909	7.86481	0.0712976	0.195677	0.000914027	0.00155617	68.5577	0.946152	13.7301	0.034738	0.022094	3
9130.03	7333.9	7970.82	10.8869	339.631	3.59768	7.50444	0.0735248	0.0845646	0.00102359	0.00137151	68.6951	0.94331	13.4603	0.033995	0.020651	3
5908.6	3089.83	9119.94	6.24075	386.164	3.73016	7.78746	0.0756557	0.166525	0.000941999	0.00219013	74.2642	0.945784	13.6218	0.035203	0.02141	3
7245.58	7930.54	9729.68	7.47482	378.144	3.77275	7.9626	0.074871	0.133528	0.000952755	0.00123645	75.0126	0.940786	13.8938	0.035933	0.021484	3
